campus_name,alamat,kota
Universitas Syeikh Nawawi Banten,"Jalan Kampung Kemuludan, Rt.001, Rw.001, Desa Tanara, Kecamatan Tanara",Nan
Akademi Akuntansi Borobudur,Jalan Raya Kalimalang No 1,Nan
Universitas Lampung,Jl Sumantri Brojonegoro No 1 Gedong Meneng,Bandar Lampung
Politeknik Papua Internasional Sorong,Sorong,Nan
Sekolah Tinggi Ilmu Kesehatan Arta Kabanjahe,Nan,Karo
Politeknik Negeri Lhokseumawe,Jalan Medan-Banda Aceh Km 280 Buketrata-Kota Lhokseumawe,Lhokseumawe
Institut Teknologi Dan Ilmu Sosial Khatulistiwa,Nan,Pasaman Barat
Akademi Kebidanan Pemkab Muara Enim,,Nan
Sekolah Tinggi Agama Islam Kupang,"Jl. Lapangan Tembak No. 15, Kelurahan Nunbaun Sabu, Kecamatan Alak, Kota Kupang, Provinsi Nusa Tenggara Timur",Kupang
Akademi Kebidanan Bakti Indonesia Balikpapan,Jl Patimura Perum Sosial No 25,Balikpapan
Institut Agama Islam Negeri Syaikh Abdurrahman Siddik Bangka Belitung,-,Bangka
Iisip Yapis Biak,Jl. Sudjarwo Condronegoro Distrik Samofa Biak Papua,Biak Numfor
Stai Tasikmalaya,Jalan Noenoeng Tisnasaputra No.16,Tasikmalaya
Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,Nan,Muaro Jambi
Universitas Jabal Ghafur,Jalan Glegapui,Pidie
Sekolah Tinggi Ilmu Kesehatan Al Ma Arif,"Jl Dr Mohammad Hatta No 687-B Sukaraya, Baturaja, Sumatera Selatan, Indonesia 32",Ogan Komering Ulu
Universitas Pangeran Diponegoro Nganjuk,"Jalan Wilis Rt 002 Rw 001, Kelurahan Kramat, Kecamatan Nganjuk",Nan
Sekolah Tinggi Ilmu Ekonomi Bisma Lepisi,Jalan Ks Tubun No. 11 Pasar Baru Tangerang,Tangerang
Sekolah Tinggi Farmasi Muhammadiyah Tangerang,"Jalan Raya Serang Km 12,5 Cikupa",Tangerang
Akademi Komunitas Industri Pertambangan Bukit Asam,Nan,Muara Enim
Akademi Pariwisata Mandala Bhakti,Jalan Letjen Suprapto No 16 Sumber Surakarta,Surakarta
Universitas Widya Gama,Jalan Borobudur Nomor 35,Kepulauan Talaud
